scientific_name|breeding_scientific_name
Prunus cerasifera cv/hyb|Prunus cerasifera
Prunus cerasifera `Thunderclou|Prunus cerasifera
Prunus cerasifera `Krauter`s V|Prunus cerasifera
Prunus cerasifera `Pissardii`|Prunus cerasifera
Prunus cerasifera 'Purple Pony|Prunus cerasifera
Pyrus calleryana 'Cambridge'|Pyrus calleryana
Pyrus calleryana 'Chanticleer'|Pyrus calleryana
Pyrus calleryana Aristocrat TM|Pyrus calleryana
Pyrus calleryana Trinity (R)|Pyrus calleryana
Pyrus calleryana `Autumn Blaze|Pyrus calleryana
Pyrus calleryana `Bradford`|Pyrus calleryana
Pyrus calleryana `Capital`|Pyrus calleryana
Pyrus calleryana `Rancho`|Pyrus calleryana
Pyrus calleryana `Redspire`|Pyrus calleryana
Pyrus calleryana `Whitehouse`|Pyrus calleryana
Malus sp.|Malus domestica
Malus x domestica|Malus domestica
Malus transitoria 'Golden Rain|Malus domestica
Malus  `Prairifire`|Malus domestica
Malus  `Snowdrift`|Malus domestica
Malus x moerlandsii `Profusion|Malus domestica
Malus tschonoskii|Malus domestica
Malus 'Royal Raindrops'|Malus domestica
Malus  `Robinson`|Malus domestica
Malus fusca|Malus domestica
Malus `Adirondack`|Malus domestica
Malus  Sugar Tyme (R)|Malus domestica
Malus  `Wintergold`|Malus domestica
Malus  Red Jewel TM|Malus domestica
Malus x floribunda|Malus domestica
Malus baccata|Malus domestica
Malus 'Donald Wyman'|Malus domestica
Malus x Zumi `Calocarpa`|Malus domestica
Malus 'Purple Prince'|Malus domestica
Malus  `Dolgo`|Malus domestica
Malus transitoria|Malus domestica
Malus x Zumi|Malus domestica
Malus ioensis|Malus domestica
Malus  `Spring Snow`|Malus domestica
Malus  `Red Barron`|Malus domestica
Malus 'Sentinel'|Malus domestica
Malus  `Hopa`|Malus domestica
Malus  `Pink Spires`|Malus domestica
Malus  `Professor Sprenger'|Malus domestica
Malus sargentii|Malus domestica
Malus  `Adams`|Malus domestica
Malus x purpurea|Malus domestica
Malus coronaria|Malus domestica
Malus  'Brandywine(R)'|Malus domestica
